"Date","Price","Open","High","Low","Vol.","Change %"
2021- 11- 29,"123,000","123,000","125,500","122,000",2.01M,-1.99%
2021- 11- 28,"123,000","123,000","125,500","122,000",0,0%
2021- 11- 26,"125,500","127,500","128,500","125,000",1.65M,-1.95%
2021- 11- 25,"128,000","125,000","128,500","124,500",2.88M,2.81%
2021- 11- 24,"124,500","124,500","125,500","123,500",1.22M,0.00%
2021- 11- 23,"124,500","127,500","128,000","124,000",1.96M,-3.11%
2021- 11- 22,"128,500","127,000","129,000","125,500",2.19M,1.18%
2021- 11- 21,"128,500","127,000","129,000","125,500",0,0%
2021- 11- 19,"127,000","125,000","127,500","124,500",1.50M,2.01%
2021- 11- 18,"124,500","125,000","126,000","123,000",1.48M,-0.40%
2021- 11- 17,"125,000","128,000","129,000","125,000",1.66M,-1.96%
2021- 11- 16,"127,500","129,000","130,000","127,000",1.57M,-1.16%
2021- 11- 15,"129,000","127,000","129,500","127,000",1.70M,1.57%
2021- 11- 14,"129,000","127,000","129,500","127,000",0,0%
2021- 11- 12,"127,000","126,000","128,000","124,500",2.09M,1.20%
2021- 11- 11,"125,500","123,000","125,500","121,500",1.94M,1.21%
2021- 11- 10,"124,000","125,500","127,500","123,500",1.56M,-1.20%
2021- 11- 09,"125,500","124,500","127,000","124,500",1.98M,0.40%
2021- 11- 08,"125,000","128,500","128,500","123,000",4.02M,-2.72%
2021- 11- 07,"125,000","128,500","128,500","123,000",0,0%
2021- 11- 05,"128,500","131,000","131,000","126,500",2.80M,-1.15%
2021- 11- 04,"130,000","126,000","130,500","125,500",5.97M,4.42%
2021- 11- 03,"124,500","128,000","128,500","123,500",2.89M,-2.73%
2021- 11- 02,"128,000","126,000","128,500","126,000",1.64M,1.99%
2021- 11- 01,"125,500","126,000","127,000","125,000",1.07M,0.00%
2021- 10- 31,"125,500","126,000","127,000","125,000",0,0%
2021- 10- 29,"125,500","125,500","126,500","123,000",1.87M,0.00%
2021- 10- 28,"125,500","129,000","130,000","125,000",1.77M,-2.33%
2021- 10- 27,"128,500","128,000","129,000","126,500",1.44M,0.78%
2021- 10- 26,"127,500","126,000","128,000","126,000",1.24M,1.19%
2021- 10- 25,"126,000","126,500","127,500","123,500",2.30M,-1.18%
2021- 10- 24,"126,000","126,500","127,500","123,500",0,0%
2021- 10- 22,"127,500","128,000","129,500","125,500",1.97M,-0.39%
2021- 10- 21,"128,000","128,500","130,000","127,500",2.28M,0.00%
2021- 10- 20,"128,000","129,500","130,500","127,000",4.94M,0.39%
2021- 10- 19,"127,500","123,000","127,500","121,500",3.99M,4.94%
2021- 10- 18,"121,500","123,000","123,000","120,500",1.82M,-0.41%
2021- 10- 17,"121,500","123,000","123,000","120,500",0,0%
2021- 10- 15,"122,000","123,000","123,500","120,000",2.29M,0.41%
2021- 10- 14,"121,500","118,500","122,000","118,500",3.88M,3.85%
2021- 10- 13,"117,000","114,000","118,500","114,000",2.69M,3.08%
2021- 10- 12,"113,500","117,000","118,500","113,000",3.80M,-3.40%
2021- 10- 11,"113,500","117,000","118,500","113,000",0,0%
2021- 10- 08,"117,500","121,500","121,500","117,500",3.90M,-1.67%
2021- 10- 07,"119,500","115,000","119,500","115,000",5.12M,5.75%
2021- 10- 06,"113,000","112,500","116,000","112,000",4.58M,1.80%
2021- 10- 05,"111,000","114,500","116,000","110,500",4.87M,-4.72%
2021- 10- 04,"111,000","114,500","116,000","110,500",0,0%
2021- 10- 01,"116,500","118,000","120,000","116,000",2.32M,-1.27%
2021- 09- 30,"118,000","115,000","120,500","114,500",4.63M,1.29%
2021- 09- 29,"116,500","115,000","117,500","114,500",3.15M,-0.85%
2021- 09- 28,"117,500","120,500","121,500","117,500",3.42M,-2.08%
2021- 09- 27,"120,000","120,000","122,500","119,500",3.62M,0.42%
2021- 09- 26,"120,000","120,000","122,500","119,500",0,0%
2021- 09- 24,"119,500","116,000","121,000","116,000",5.29M,3.91%
2021- 09- 23,"115,000","116,500","118,000","114,000",6.28M,-3.77%
2021- 09- 22,"115,000","116,500","118,000","114,000",0,0%
2021- 09- 17,"119,500","121,500","121,500","118,000",4.73M,-1.65%
2021- 09- 16,"121,500","123,000","125,000","121,000",4.74M,-0.82%
2021- 09- 15,"122,500","123,500","127,500","122,000",9.03M,-1.21%
2021- 09- 14,"124,000","122,500","126,000","118,000",18.76M,-0.40%
2021- 09- 13,"124,500","126,500","130,000","122,500",8.58M,-4.23%
