"Date","Price","Open","High","Low","Vol.","Change %"
"2022- 05- 25","266,000","266,500","268,500","262,500","531.82K","0.00%"
"2022- 05- 24","266,000","275,000","275,500","266,000","571.07K","-4.14%"
"2022- 05- 23","277,500","275,000","278,000","273,500","316.16K","0.91%"
"2022- 05- 22","275,000","275,000","275,000","275,000","","0.00%"
"2022- 05- 20","275,000","270,000","277,000","269,000","467.52K","1.29%"
"2022- 05- 19","271,500","268,500","273,000","266,500","613.10K","-1.81%"
"2022- 05- 18","276,500","279,500","280,500","275,000","524.38K","0.36%"
"2022- 05- 17","275,500","273,500","276,000","272,000","416.96K","0.73%"
"2022- 05- 16","273,500","278,000","279,000","273,000","384.48K","-0.36%"
"2022- 05- 15","274,500","274,500","274,500","274,500","","0.00%"
"2022- 05- 13","274,500","272,000","275,000","269,500","470.58K","1.67%"
"2022- 05- 12","270,000","273,500","276,000","270,000","608.45K","-3.23%"
"2022- 05- 11","279,000","273,500","279,000","273,000","471.95K","1.09%"
"2022- 05- 10","276,000","269,000","277,500","269,000","731.04K","0.36%"
"2022- 05- 09","275,000","269,500","277,000","269,000","525.58K","1.10%"
"2022- 05- 08","272,000","272,000","272,000","272,000","","0.00%"
"2022- 05- 06","272,000","272,500","275,000","268,000","783.75K","-3.55%"
"2022- 05- 05","282,000","282,000","282,000","282,000","","0.00%"
"2022- 05- 04","282,000","282,000","287,000","279,500","389.80K","0.00%"
"2022- 05- 03","282,000","280,500","284,000","280,000","417.34K","0.36%"
"2022- 05- 02","281,000","281,000","282,500","279,000","506.95K","-1.92%"
"2022- 05- 01","286,500","286,500","286,500","286,500","","0.00%"
"2022- 04- 29","286,500","282,500","287,500","281,500","538.74K","2.14%"
"2022- 04- 28","280,500","286,000","286,000","278,500","540.38K","0.00%"
"2022- 04- 27","280,500","279,500","282,000","277,000","869.94K","-2.26%"
"2022- 04- 26","287,000","288,500","291,500","285,000","801.96K","-0.52%"
"2022- 04- 25","288,500","292,500","295,000","288,000","816.90K","-3.83%"
"2022- 04- 24","300,000","300,000","300,000","300,000","","0.00%"
"2022- 04- 22","300,000","302,000","304,000","299,500","1.07M","-3.07%"
